"repo_id","repo_git","closed_year","closed_month","issue_total"
"25498","https://github.com/tensorflow/tensorflow","2024","8","233"
"25498","https://github.com/tensorflow/tensorflow","2024","7","149"
"25498","https://github.com/tensorflow/tensorflow","2024","6","205"
"25498","https://github.com/tensorflow/tensorflow","2024","5","116"
"25498","https://github.com/tensorflow/tensorflow","2024","4","157"
"25498","https://github.com/tensorflow/tensorflow","2024","3","199"
"25498","https://github.com/tensorflow/tensorflow","2024","2","135"
"25498","https://github.com/tensorflow/tensorflow","2024","1","114"
"25498","https://github.com/tensorflow/tensorflow","2023","12","155"
"25498","https://github.com/tensorflow/tensorflow","2023","11","163"
"25498","https://github.com/tensorflow/tensorflow","2023","10","142"
"25498","https://github.com/tensorflow/tensorflow","2023","9","229"
"25498","https://github.com/tensorflow/tensorflow","2023","8","240"
"25498","https://github.com/tensorflow/tensorflow","2023","7","148"
"25498","https://github.com/tensorflow/tensorflow","2023","6","195"
"25498","https://github.com/tensorflow/tensorflow","2023","5","212"
"25498","https://github.com/tensorflow/tensorflow","2023","4","214"
"25498","https://github.com/tensorflow/tensorflow","2023","3","221"
"25498","https://github.com/tensorflow/tensorflow","2023","2","243"
"25498","https://github.com/tensorflow/tensorflow","2023","1","199"
"25498","https://github.com/tensorflow/tensorflow","2022","12","259"
"25498","https://github.com/tensorflow/tensorflow","2022","11","224"
"25498","https://github.com/tensorflow/tensorflow","2022","10","243"
"25498","https://github.com/tensorflow/tensorflow","2022","9","218"
"25498","https://github.com/tensorflow/tensorflow","2022","8","233"
"25498","https://github.com/tensorflow/tensorflow","2022","7","186"
"25498","https://github.com/tensorflow/tensorflow","2022","6","305"
"25498","https://github.com/tensorflow/tensorflow","2022","5","276"
"25498","https://github.com/tensorflow/tensorflow","2022","4","259"
"25498","https://github.com/tensorflow/tensorflow","2022","3","279"
"25498","https://github.com/tensorflow/tensorflow","2022","2","246"
"25498","https://github.com/tensorflow/tensorflow","2022","1","345"
"25498","https://github.com/tensorflow/tensorflow","2021","12","378"
"25498","https://github.com/tensorflow/tensorflow","2021","11","428"
"25498","https://github.com/tensorflow/tensorflow","2021","10","372"
"25498","https://github.com/tensorflow/tensorflow","2021","9","542"
"25498","https://github.com/tensorflow/tensorflow","2021","8","482"
"25498","https://github.com/tensorflow/tensorflow","2021","7","430"
"25498","https://github.com/tensorflow/tensorflow","2021","6","550"
"25498","https://github.com/tensorflow/tensorflow","2021","5","501"
"25498","https://github.com/tensorflow/tensorflow","2021","4","425"
"25498","https://github.com/tensorflow/tensorflow","2021","3","463"
