"repo_id","repo_git","issue_total"
"1","https://github.com/chaoss/augur","663"
"25480","https://github.com/instructlab/taxonomy","143"
"25481","https://github.com/instructlab/instructlab","745"
"25482","https://github.com/instructlab/website","14"
"25483","https://github.com/instructlab/.github","2"
"25484","https://github.com/instructlab/community","140"
"25485","https://github.com/instructlab/instructlab-bot","138"
"25486","https://github.com/instructlab/schema","7"
"25487","https://github.com/instructlab/dev-docs","30"
"25489","https://github.com/instructlab/dns-zones","1"
"25490","https://github.com/instructlab/training","77"
"25491","https://github.com/instructlab/sdg","105"
"25492","https://github.com/instructlab/eval","31"
"25493","https://github.com/instructlab/ui","77"
"25494","https://github.com/instructlab/gptdolomite","2"
"25495","https://github.com/numpy/numpy","12705"
"25496","https://github.com/polarisss13/polaris","1891"
"25497","https://github.com/networkx/networkx","3193"
"25498","https://github.com/tensorflow/tensorflow","39610"
"25499","https://github.com/ml-explore/mlx","492"
"25500","https://github.com/keras-team/keras-io","605"
"25501","https://github.com/pytorch/pytorch","44040"
"25502","https://github.com/apache/arrow","25436"
"25503","https://github.com/pandas-dev/pandas","26694"
"25504","https://github.com/tinygrad/tinygrad","702"
"25505","https://github.com/allenai/allennlp","2557"
"25506","https://github.com/facebookresearch/fasttext","1078"
"25507","https://github.com/mozilla/deepspeech","2110"
"25509","https://github.com/opennmt/opennmt","283"
"25510","https://github.com/ukplab/sentence-transformers","2103"
"25511","https://github.com/huggingface/transformers","15570"
"25512","https://github.com/rare-technologies/gensim","1847"
"25513","https://github.com/cogcomp/cogcomp-nlp","385"
"25514","https://github.com/explosion/spacy","5622"
"25515","https://github.com/nltk/nltk","1799"
"25516","https://github.com/stanfordnlp/corenlp","1119"
"25517","https://github.com/picovoice/porcupine","545"
"25518","https://github.com/mycroftai/mycroft-core","1050"
"25519","https://github.com/laion-ai/open-assistant","1643"
"25520","https://github.com/sukeesh/jarvis","477"
"25521","https://github.com/leon-ai/leon","295"
"25522","https://github.com/openvoiceos/ovos-core","73"
"25523","https://github.com/rhasspy/rhasspy","312"
"25524","https://github.com/timdettmers/bitsandbytes","1000"
"25525","https://github.com/huggingface/trl","1054"
"25527","https://github.com/google-deepmind/gemma","29"
"25528","https://github.com/mistralai/mistral-common","13"
"25529","https://github.com/google-research/text-to-text-transfer-transformer","405"
"25530","https://github.com/microsoft/deepspeed","2705"
"25532","https://github.com/meta-llama/llama","953"
"25533","https://github.com/huggingface/datasets","2870"
"25534","https://github.com/nvidia/nemo","2200"
"25535","https://github.com/milvus-io/milvus","11489"
"25536","https://github.com/bigscience-workshop/promptsource","162"
"25537","https://github.com/run-llama/llama_index","4882"
"25538","https://github.com/microsoft/semantic-kernel","3002"
"25539","https://github.com/automatic1111/stable-diffusion-webui","7616"
"25540","https://github.com/huggingface/peft","1007"
"25541","https://github.com/langchain-ai/langchain","7444"
"25542","https://github.com/qdrant/qdrant","1191"
"25543","https://github.com/lucidrains/imagen-pytorch","300"
"25545","https://github.com/chroma-core/chroma","1123"
"25546","https://github.com/microsoft/lora","105"
"25557","https://github.com/pola-rs/polars","8425"
